id,address,street,city,state,zip,lon,lat,cluster_id,n_points,last_time,distance_m,hull_area_deg2
119584640,"490 PIN OAK DRIVE, TAYLORSVILLE, KY, 40071",PIN OAK DRIVE,TAYLORSVILLE,KY,40071,-85.4739912,38.0852559,2,41440,,0.0,13.223299363974721
119620980,"65 HACKBERRY Court, LOUISVILLE, KY, 40245",HACKBERRY Court,LOUISVILLE,KY,40245,-85.4312157,38.2918818,2,41440,,0.0,13.223299363974721
119621993,"312 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4319869,38.2919219,2,41440,,0.0,13.223299363974721
119623025,"51 HACKBERRY Court, LOUISVILLE, KY, 40245",HACKBERRY Court,LOUISVILLE,KY,40245,-85.4314267,38.292383,2,41440,,0.0,13.223299363974721
119623026,"284 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4342082,38.293849,2,41440,,0.0,13.223299363974721
119623027,"271 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4362598,38.2957573,2,41440,,0.0,13.223299363974721
119651212,"1100 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4293911,38.2866089,2,41440,,0.0,13.223299363974721
119651213,"314 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4319621,38.2916425,2,41440,,0.0,13.223299363974721
119652904,"1301 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4280638,38.2862519,2,41440,,0.0,13.223299363974721
119652905,"950 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4296173,38.2868889,2,41440,,0.0,13.223299363974721
119652906,"324 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4321412,38.2900155,2,41440,,0.0,13.223299363974721
119652907,"309 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4320737,38.2928958,2,41440,,0.0,13.223299363974721
119658293,"650 PERSIMMON RIDGE Drive, LOUISVILLE, KY, 40245",PERSIMMON RIDGE Drive,LOUISVILLE,KY,40245,-85.4309207,38.2884007,2,41440,,0.0,13.223299363974721
